"filename", "language", "JavaScript", "Django txt", "JSON", "HTML", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Konra\Desktop\Cody\src\dashboard\templates\other\error\error.ejs", "HTML", 0, 0, 0, 24, 0, 0, 0, 2, 26
"c:\Users\Konra\Desktop\Cody\src\dashboard\templates\other\login\login.ejs", "HTML", 0, 0, 0, 130, 0, 0, 0, 4, 134
"c:\Users\Konra\Desktop\Cody\src\dashboard\templates\other\policy\policy.ejs", "HTML", 0, 0, 0, 138, 0, 0, 0, 3, 141
"c:\Users\Konra\Desktop\Cody\src\dashboard\templates\other\status\status.ejs", "HTML", 0, 0, 0, 147, 0, 0, 0, 6, 153
"c:\Users\Konra\Desktop\Cody\src\database\mongoose.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 7, 32
"c:\Users\Konra\Desktop\Cody\src\database\schemas\Code.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\Konra\Desktop\Cody\src\database\schemas\Guild.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\Konra\Desktop\Cody\src\database\schemas\User.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 5, 60
"c:\Users\Konra\Desktop\Cody\src\events\guildCreate.js", "JavaScript", 0, 0, 0, 0, 0, 0, 41, 0, 41
"c:\Users\Konra\Desktop\Cody\src\events\message.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 8, 74
"c:\Users\Konra\Desktop\Cody\src\events\ready.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 8, 24
"c:\Users\Konra\Desktop\Cody\src\handlers\command.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 4, 45
"c:\Users\Konra\Desktop\Cody\src\handlers\premium.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Konra\Desktop\Cody\src\index.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\Konra\Desktop\Cody\src\questions\courses.json", "JSON", 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\Konra\Desktop\Cody\src\questions\how-to-use.txt", "Django txt", 0, 41, 0, 0, 0, 0, 0, 29, 70
"c:\Users\Konra\Desktop\Cody\src\questions\javascript.json", "JSON", 0, 0, 217, 0, 0, 0, 0, 21, 238
"c:\Users\Konra\Desktop\Cody\src\questions\python.json", "JSON", 0, 0, 171, 0, 0, 0, 0, 16, 187
"c:\Users\Konra\Desktop\Cody\src\questions\question-guide.txt", "Django txt", 0, 41, 0, 0, 0, 0, 0, 29, 70
"Total", "-", 2530, 93, 410, 2395, 2059, 76, 294, 737, 8594
